CntName,Criteria,Type,Coverage,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Finland,Residence,Immigrants,Both,13626,15771,14661,13629,11686,10465,9927,9142,9720,11219,13558,19001,14554,14795,11611,12222,13294,13564,14192,14744,16895,18955,18113,17838,20333,21355,22451,26029,29114,26699,25636,29481,31278,31941
France,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92807,107973,115102,127023,147533,210513,190453,154608
France,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96596,112381,124694,137608,121998,81081,105098,146152
France,Citizenship,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,301544,293980,296608,296970,307111,319816,327431,332640
France,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,189403,220354,239796,264631,269531,291594,295551,300760
France,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57846,..,..,..,..,..,..,301544,293980,296608,296970,307111,319816,327431,332640
Germany,Citizenship,Emigrants,Citizens,53728,55001,60227,62305,59764,58607,59350,66832,62858,106690,144557,98915,105171,104653,138280,130672,118430,109903,116403,116410,111244,109507,117683,127267,150667,144815,155290,161105,174759,..,..,..,..,..
Germany,Citizenship,Emigrants,Foreigners,341296,371057,385814,381361,505055,330507,314521,303407,326887,395739,395226,414190,478359,612322,544390,509920,509983,573198,638955,555638,562794,496987,505572,499063,546965,483584,483774,475749,563130,..,..,..,..,..
Germany,Citizenship,Immigrants,Citizens,104929,104450,82337,79927,79247,82653,88867,141546,255342,751419,809229,273633,290850,287561,305037,303347,251737,225335,196956,200150,191909,193958,184202,167216,177993,128051,103388,106014,108331,79165,85527,89438,87245,83229
Germany,Citizenship,Immigrants,Foreigners,581908,461803,295539,254225,308833,370776,445159,436154,589580,705457,724848,639769,876450,813209,699562,730759,659014,579040,605500,673873,649249,685259,658341,601759,602182,579301,558467,574752,573815,267051,318528,399984,504930,609484
Germany,Residence,Emigrants,Both,439571,470525,493495,487268,604832,425313,407139,400816,421947,544967,610595,582240,701424,796859,740525,698113,677494,746969,755358,685635,674038,606494,623255,626330,697632,628399,639064,636854,737889,286582,252456,249045,240001,259328
Germany,Residence,Immigrants,Both,753436,625053,420754,372027,457093,512108,598479,614603,903892,1522190,1651593,1198978,1502198,1277408,..,1096048,959691,840633,802456,874023,841158,879217,842543,768975,780175,707352,661855,680766,682146,346216,404055,489422,592175,692713
Greece,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19088,19799,28301,53210,65264,62089
Greece,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23956,23887,33740,39194,59430,55005
Greece,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,22790,25078,27043,26194,26644
Greece,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86090,133181,35823,35384,33046,32006,31302
Greece,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43044,43686,62041,92404,124694,117094
Greece,Residence,Immigrants,Both,..,..,..,..,..,33729,30569,34787,37322,38644,42021,24346,32133,27472,..,20859,22214,22078,12630,..,..,..,..,..,..,..,..,..,66529,58613,60462,60089,58200,57946
Hungary,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,772,809,894,716,361,332,647,738,569,354,338,358,367,5350,4883,7318,12413,12964,21580
Hungary,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1786,2122,1462,2343,2460,2208,1944,2388,2553,3466,3320,3956,4133,4241,5600,6047,2687,9916,13111
Hungary,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1427,1250,1159,1217,1271,1542,1771,1883,1962,2134,2238,2163,1754,2105,2312,1635,5504,13362,17718
Hungary,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11873,12082,11667,16052,20151,20184,20308,17972,19365,22164,25582,23569,22607,35547,25582,23884,22514,20340,21250
Hungary,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9591,10483,13365,15100,22880,34691
Hungary,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37652,27894,25519,28018,33702,38968
Iceland,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,2479,1916,1856,2883,2806,1995,1775,2016,2657,3566,3444,3158,3021,2709,2679,..,..,..,..,..,..,3395,3294,3711,3415,3210,3522,2808
Iceland,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,480,481,820,942,1003,955,1332,843,739,681,638,741,661,954,810,4034,4490,3837,4820,3913,4577,4019,5850,3163,2044,1602,1236,1564
Iceland,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,2041,2598,2395,1735,2055,2281,1980,1749,1796,1929,2406,2584,2788,2867,2741,2487,2360,..,..,..,..,3228,2817,1413,1678,1868,2310,2802
Iceland,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,655,993,1665,986,1040,1573,894,909,847,922,1228,1360,1775,1918,2462,2515,1855,3704,5350,7773,9832,9318,7471,2508,2270,2205,2650,3604
Iceland,Residence,Emigrants,Both,..,..,..,..,..,..,2964,2408,2685,3841,3847,2982,3213,2901,3436,4285,4108,3921,3682,3663,3489,4034,4490,..,4820,3913,4577,7414,9144,6874,5459,4812,4758,4372
Iceland,Residence,Immigrants,Both,1796,2161,2293,2154,1939,1827,2703,3616,4151,2755,3166,3989,2959,2698,2676,2867,3664,3990,4563,4785,5203,5002,4215,3704,5350,7773,9832,12546,10288,3921,3948,4073,4960,6406
Ireland,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13712,11207,14144,21087,33842,39235,43511,37301
Ireland,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30775,27825,26300,25750,28375,27200,28675,34350,30697,36833,51790,48585,44257,47818,45925,46490
Ireland,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26100,25275,25925,26825,19950,16850,18025,14175,29622,24946,22050,18262,19697,19933,16548,12695
Ireland,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22075,26400,31475,38100,41775,42025,60050,87825,109812,97469,60542,32342,32642,33291,37891,46599
Ireland,Residence,Emigrants,Both,..,..,..,..,..,..,..,40200,61100,70500,56200,35300,33400,35100,34800,33200,31200,25400,28600,27825,26300,25750,28375,27200,28675,34350,44409,48040,65934,69672,78099,87053,89436,83791
Ireland,Residence,Immigrants,Both,..,..,..,..,..,..,..,17000,19000,27000,33000,33000,41000,35000,30000,38000,39000,45625,48175,51675,57400,64925,61725,58875,78075,102000,139434,122415,82592,50604,52339,53224,54439,59294
Italy,Citizenship,Emigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,51478,50226,54980,59402,34886,39017,38984,37952,56283,47480,46901,39401,50084,50830,49078,58256,44880,53924,48327,45954,50057,67998,82095
Italy,Citizenship,Emigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,3608,3997,3798,3274,5098,5043,4408,7937,8590,9121,9176,9982,12886,14019,15951,16974,20316,27023,32270,32817,32404,38218,43640
Italy,Citizenship,Immigrants,Citizens,..,..,..,..,..,..,..,..,..,..,..,56004,54849,49261,46761,28472,28816,30352,29771,32152,34411,35416,60887,45635,49810,42893,43052,42818,38163,36215,34357,31466,29467,28433
Italy,Citizenship,Immigrants,Foreigners,..,..,..,..,..,..,..,..,..,..,..,36627,28427,20402,18580,42362,119122,112860,127114,152900,192557,172836,161914,424856,394756,282780,254588,515201,496549,406725,424499,354327,321305,279021
Italy,Residence,Emigrants,Both,..,..,..,..,..,..,49775,43669,41861,65647,55989,57730,56987,61282,65548,43303,47510,46273,45889,64873,56601,56077,49383,62970,64849,65029,75230,65196,80947,80597,78771,82461,106216,125735
Italy,Residence,Immigrants,Both,..,91495,100100,98330,86915,82183,75725,104459,85791,81201,166754,126935,113916,100401,99105,96710,171967,162857,156885,185052,226968,208252,222801,470491,444566,325673,297640,558019,534712,442940,458856,385793,350772,307454
Kazakhstan,Residence,Emigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155749,141710,120223,73890,65530,52139,33690,42435,45287,33983,..,..,..,..
Kazakhstan,Residence,Immigrants,Both,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50166,54992,59502,68503,69559,75817,66747,52574,44975,42032,..,..,..,..
